[ProcessExecutor]2021-04-14 05:50:18.857 | INFO     | fedvision.framework.cluster.executor:execute:31:execute cmd /home/disk1/wqy/data/projects/fedvision/venv/bin/python -m fedvision.paddle_fl.tasks.cli.fl_server --startup-program=startup_program --main-program=main_program >stdout 2>stderr & at .
[TrainerSchedulerAgent]2021-04-14 17:05:09.099 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:init_worker:47:init success
[TrainerSchedulerAgent]2021-04-14 17:05:09.616 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 17:05:09.617 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 17:05:09.780 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 17:05:09.782 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 17:05:54.490 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 17:05:54.491 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 17:05:54.532 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 17:05:54.534 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 17:05:57.449 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 17:05:57.451 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 17:05:57.476 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 17:05:57.478 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 17:06:34.771 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 17:06:34.772 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 17:06:34.850 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 17:06:34.852 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 17:06:37.369 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 17:06:37.370 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 17:06:37.440 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 17:06:37.441 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 17:07:14.985 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 17:07:14.986 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 17:07:15.064 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 17:07:15.066 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 17:07:17.515 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 17:07:17.517 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 17:07:17.579 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 17:07:17.581 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 17:07:56.870 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 17:07:56.871 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 17:07:56.875 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
